comparison,n_seeds,wins,losses,ties,n_nonzero,wilcoxon_statistic,wilcoxon_p_value,is_significant_raw,permutation_p_value,hodges_lehmann_diff,rank_biserial_effect,mean_qpso,mean_baseline,relative_improvement_pct,practical_significance,holm_bonferroni_p_value,is_significant_adjusted
QPSO_vs_DE,30,18,12,0,30,206.0,0.5978077705949545,False,0.20536,-0.3086706205916476,-0.4075628291938326,9469.500763704296,4255.232296173536,-122.53781003259505,NEGLIGIBLE_OR_TIE,0.5978077705949545,False
QPSO_vs_PSO,30,22,5,3,27,51.0,0.0009149575215593386,True,0.00195,-11924.471870739619,0.8089349527478821,9469.500763704296,23863.572209073343,60.31817583411159,PRACTICALLY_MEANINGFUL,0.002744872564678016,True
QPSO_vs_GA,30,20,9,1,29,119.0,0.03318108280504148,True,0.26692,-0.746251666360298,0.29563641548419806,9469.500763704296,14869.45871707988,36.31576680846421,NEGLIGIBLE_OR_TIE,0.06636216561008296,False
QPSO_vs_Random,30,25,4,1,29,24.0,2.863113962230184e-05,True,1e-05,-26380.104921846676,0.8618374109381165,9469.500763704296,33926.67883695589,72.08833552729219,PRACTICALLY_MEANINGFUL,0.00011452455848920736,True
