optimizer,runs,feasible_runs,feasibility_rate_pct,mean_fitness,std_fitness,median_fitness,p10_fitness,p90_fitness,mean_physical_fitness,mean_penalty,mean_fuel_tonnes,mean_opex_usd,mean_ghg_tonnes,mean_delay_hours,mean_risk_metric,mean_runtime_seconds
QPSO,30,26,86.66666666666667,9469.500763704296,17620.25528728634,3.41965266474428,3.382210109286437,51000.0,136.16743037096464,9333.333333333334,180.08,183735.75966666668,683.3610000000001,1.3333333333333333,0.07787999999999999,6.866783333333334
DE,30,30,100.0,4255.232296173536,8852.704703906853,4.089233078568987,3.488072059166042,20003.376938035093,4.026231543291821,4251.206333333333,223.47966666666665,226492.12600000002,741.6083333333333,0.7573333333333333,0.16563,2.3879
PSO,30,18,60.0,23863.572209073343,23307.46757510191,20001.965720860797,3.424205690154434,51000.0,401.9276653186224,23461.644666666667,186.42133333333328,205637.32600000003,682.4393333333333,4.0553333333333335,0.03473333333333333,4.61172
GA,30,24,80.0,14869.45871707988,19810.4939317889,4.138841136759485,3.3972466257004137,51000.0,202.79205041321282,14666.666666666666,199.31966666666668,210320.15966666664,645.0596666666667,2.0,0.09822666666666666,9.059040000000001
Random,30,28,93.33333333333333,33926.67883695589,11202.373939130039,37609.16424661408,20004.67293531234,48264.6773376606,69.60702610961299,33857.072,190.98233333333332,210711.37966666665,415.4610000000001,5.334666666666666,0.10886,0.31833333333333336
