run_id,optimizer,seed,fitness,physical_fitness,fuel_cost_usd,carbon_cost_usd,shore_cost_usd,schedule_cost_usd,penalty_value,is_feasible
DE_seed_1017,DE,1017,3.492724430850548,3.492724430850548,116866.59,26969.21,8989.74,0.0,0.0,True
DE_seed_1018,DE,1018,6.202618700769963,6.202618700769963,261916.16,60442.19,20147.4,0.0,0.0,True
DE_seed_1019,DE,1019,20003.368619077974,3.3686190779753558,115410.61,26633.22,8877.74,0.0,20000.0,True
DE_seed_1020,DE,1020,3.5261898718214884,3.5261898718214884,120303.62,27762.37,9254.12,0.0,0.0,True
DE_seed_1021,DE,1021,3.813830830671301,3.813830830671301,125542.13,28971.26,9657.09,0.0,0.0,True
DE_seed_1022,DE,1022,13250.407451101886,4.680358642880437,175421.07,40481.79,13493.93,9281.74,13245.73,True
DE_seed_1023,DE,1023,96.01776919920593,3.8304576992360877,142351.86,32850.43,10950.14,27.66,92.19,True
DE_seed_1024,DE,1024,3.3973989989470406,3.3973989989470406,111908.66,25825.08,8608.36,0.0,0.0,True
DE_seed_1025,DE,1025,3.4426896629779598,3.4426896629779598,115521.66,26658.84,8886.28,0.0,0.0,True
DE_seed_1026,DE,1026,3.48772254307266,3.48772254307266,118974.46,27455.64,9151.88,0.0,0.0,True
DE_seed_1027,DE,1027,4.262908879774848,4.262908879774848,159696.38,36853.01,12284.34,0.0,0.0,True
DE_seed_1028,DE,1028,3.7059032968979153,3.7059032968979153,122866.78,28353.87,9451.29,0.0,0.0,True
DE_seed_1029,DE,1029,3.7737625167162125,3.7737625167162125,131310.53,30302.43,10100.81,0.0,0.0,True
DE_seed_1030,DE,1030,3.760201638630188,3.760201638630188,123480.15,28495.42,9498.47,0.0,0.0,True
PSO_seed_1001,PSO,1001,23852.043716086937,2.707403445161417,90002.51,20769.81,6923.27,2486.33,23849.34,True
PSO_seed_1002,PSO,1002,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
PSO_seed_1003,PSO,1003,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
PSO_seed_1004,PSO,1004,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
PSO_seed_1005,PSO,1005,20002.990914378497,2.990914378498276,113422.77,26174.48,8724.83,0.0,20000.0,True
PSO_seed_1006,PSO,1006,4.460944453747412,4.460944453747412,183631.21,42376.43,14125.48,0.0,0.0,True
PSO_seed_1007,PSO,1007,3.694175232177987,3.694175232177987,138374.39,31932.55,10644.18,0.0,0.0,True
PSO_seed_1008,PSO,1008,3.6562168260283525,3.6562168260283525,136046.38,31395.32,10465.11,0.0,0.0,True
PSO_seed_1009,PSO,1009,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
PSO_seed_1010,PSO,1010,51000.0,1000.0,160000.0,40000.0,10000.0,15000.0,50000.0,False
