comparison,mean_diff,ci_95_lower,ci_95_upper,ci_spans_zero
QPSO_vs_DE,5214.268467530762,-2114.4921720731113,12977.476980656978,True
QPSO_vs_PSO,-14394.071445369049,-23065.08890944335,-6261.3658433482415,False
QPSO_vs_GA,-5399.957953375581,-15232.487008293425,4432.7013892744135,True
QPSO_vs_Random,-24457.178073251587,-31297.577401217375,-16862.70017896823,False
