optimizer,mean_runtime_seconds,std_runtime_seconds,min_runtime_seconds,max_runtime_seconds,evaluations_per_second
QPSO,6.866783333333334,2.6857515487082733,2.9212,13.7187,364.0714842223554
DE,2.3879,1.472269748381729,0.653,6.0056,1046.9450144478412
PSO,4.61172,2.3077282882234353,1.5015,9.1247,542.0970917575221
GA,9.059040000000001,4.599745852950284,0.4088,15.0934,275.9674314276126
Random,0.31833333333333336,0.11891151986059027,0.1794,0.7246,7853.403141361256
