algorithm,seed,run_id,runtime_seconds,objective_evaluations,iterations,best_fitness,physical_objective,penalty,is_feasible,first_feasible_eval,first_feasible_iter,feasible_evaluations_count,candidate_feasibility_rate,constraint_violation_total,hard_violations,repair_count,repair_rate,unique_solutions,pareto_archive_size,pareto_hypervolume,assigned_demands,fuel_decisions,speed_decisions
GA,1018,GA_seed_1018,0.9029,2500,49,5.7685,5.7685,0.0,True,198,3,1756,70.24,0.0,NONE,0,0.0,2455,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.145488938480664, 'CPS_Triton': 15.968949964759013, 'OSS_Ceto': 12.362911325911071}"
GA,1019,GA_seed_1019,0.9646,2500,49,3.6623,3.6623,0.0,True,126,2,1975,79.0,0.0,NONE,0,0.0,2464,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.246804245291393, 'CPS_Triton': 16.039424666846266, 'OSS_Ceto': 11.662315863994479}"
GA,1020,GA_seed_1020,0.3256,2500,49,41468.3229,0.793,41467.53,True,327,6,1,0.04,0.0,NONE,0,0.0,2458,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 10.144821349944705, 'CPS_Triton': 9.61430473306691, 'OSS_Ceto': 10.783562028879661}"
GA,1021,GA_seed_1021,0.3273,2500,49,51000.0,1000.0,50000.0,False,-1,-1,0,0.0,50000.0,Mandatory demand DEMAND-A is unfulfilled.,0,0.0,2443,0,0.0,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 13.927627225263375, 'CPS_Triton': 10.28789613783015, 'OSS_Ceto': 13.871612273686866}"
GA,1022,GA_seed_1022,0.8817,2500,49,4.194,4.194,0.0,True,166,3,1736,69.44,0.0,NONE,0,0.0,2455,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.219138411057337, 'CPS_Triton': 15.777997309374424, 'OSS_Ceto': 14.91771922294151}"
GA,1023,GA_seed_1023,0.8507,2500,49,20002.9913,2.9913,20000.0,True,150,2,1708,68.32,0.0,NONE,0,0.0,2451,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 19.165076947232016, 'CPS_Triton': 7.553511912964633, 'OSS_Ceto': 11.79532275421535}"
GA,1024,GA_seed_1024,0.9236,2500,49,3.3949,3.3949,0.0,True,44,0,1846,73.84,0.0,NONE,0,0.0,2457,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.150631944675244, 'CPS_Triton': 15.666820779556483, 'OSS_Ceto': 11.933997420158397}"
GA,1025,GA_seed_1025,0.3236,2500,49,51000.0,1000.0,50000.0,False,436,8,25,1.0,50000.0,Mandatory demand DEMAND-C is unfulfilled.,0,0.0,2448,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'UNASSIGNED'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 8.168072733129748, 'CPS_Triton': 10.094129511825384, 'OSS_Ceto': 9.876245207979096}"
GA,1026,GA_seed_1026,0.3204,2500,49,42168.8108,2.541,42166.27,True,474,9,6,0.24,0.0,NONE,0,0.0,2460,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 16.125643982224375, 'CPS_Triton': 12.294907062138552, 'OSS_Ceto': 13.475267058925532}"
GA,1027,GA_seed_1027,0.3253,2500,49,51000.0,1000.0,50000.0,False,106,2,7,0.28,50000.0,Mandatory demand DEMAND-A is unfulfilled.,0,0.0,2453,0,0.0,"{'CPS_Poseidon': 'UNASSIGNED', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 9.874962079309798, 'CPS_Triton': 17.043279125868864, 'OSS_Ceto': 12.864810796220103}"
GA,1028,GA_seed_1028,0.7358,2500,49,20001.472,1.472,20000.0,True,222,4,1303,52.12,0.0,NONE,0,0.0,2452,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'vlsfo', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 12.973861471942984, 'CPS_Triton': 15.653527260152515, 'OSS_Ceto': 11.709529588810273}"
GA,1029,GA_seed_1029,0.3274,2500,49,101000.0,1000.0,100000.0,False,-1,-1,0,0.0,100000.0,"CPS_Triton: Incompatible fuel green_ammonia for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol'])",0,0.0,2447,0,0.0,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'green_ammonia', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 8.76659916440116, 'CPS_Triton': 6.075644437383692, 'OSS_Ceto': 5.36826569890556}"
GA,1030,GA_seed_1030,0.3264,2500,49,51000.0,1000.0,50000.0,False,-1,-1,0,0.0,50000.0,Mandatory demand DEMAND-A is unfulfilled.,0,0.0,2447,0,0.0,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 8.235126298117196, 'CPS_Triton': 16.69022982029536, 'OSS_Ceto': 14.975502444646002}"
