algorithm,seed,run_id,runtime_seconds,objective_evaluations,iterations,best_fitness,physical_objective,penalty,is_feasible,first_feasible_eval,first_feasible_iter,feasible_evaluations_count,candidate_feasibility_rate,constraint_violation_total,hard_violations,repair_count,repair_rate,unique_solutions,pareto_archive_size,pareto_hypervolume,assigned_demands,fuel_decisions,speed_decisions
Random,1012,Random_seed_1012,0.5427,2500,2500,20002.0422,2.0422,20000.0,True,858,858,4,0.16,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 21.7330512074043, 'CPS_Triton': 16.41351561909972, 'OSS_Ceto': 12.478639203885102}"
Random,1013,Random_seed_1013,0.5929,2500,2500,31938.8892,1.7468,31937.14,True,350,350,7,0.28,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 15.064477233844233, 'CPS_Triton': 17.939215469638338, 'OSS_Ceto': 8.325862005521056}"
Random,1014,Random_seed_1014,0.5917,2500,2500,32793.5733,3.0857,32790.49,True,155,155,5,0.2,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 15.445881778003127, 'CPS_Triton': 8.89888309184819, 'OSS_Ceto': 14.676191141436334}"
Random,1015,Random_seed_1015,0.6507,2500,2500,47268.668,4.9677,47263.7,True,121,121,7,0.28,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 20.392503975696492, 'CPS_Triton': 14.0238735279009, 'OSS_Ceto': 5.209345429010035}"
Random,1016,Random_seed_1016,0.6263,2500,2500,23046.7911,5.5997,23041.19,True,61,61,9,0.36,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 19.198275535039087, 'CPS_Triton': 14.718012736132387, 'OSS_Ceto': 8.879227402707643}"
Random,1017,Random_seed_1017,0.6222,2500,2500,21131.4998,2.8071,21128.69,True,26,26,10,0.4,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 18.355506028992046, 'CPS_Triton': 8.909707217783353, 'OSS_Ceto': 14.625566704380528}"
Random,1018,Random_seed_1018,0.5993,2500,2500,20002.0611,2.0611,20000.0,True,493,493,12,0.48,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 17.96468817623324, 'CPS_Triton': 17.111088102633545, 'OSS_Ceto': 14.623548880303218}"
Random,1019,Random_seed_1019,0.6116,2500,2500,44299.6191,0.513,44299.11,True,609,609,2,0.08,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 14.275112386574651, 'CPS_Triton': 17.200010389112418, 'OSS_Ceto': 9.986298576190784}"
Random,1020,Random_seed_1020,0.6154,2500,2500,22443.7118,5.5799,22438.13,True,67,67,4,0.16,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 19.187678976052474, 'CPS_Triton': 14.819263169480399, 'OSS_Ceto': 7.418420094684011}"
Random,1021,Random_seed_1021,0.3783,2500,2500,23381.0639,1.7347,23379.33,True,716,716,7,0.28,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 11.753880504571416, 'CPS_Triton': 17.45408510221467, 'OSS_Ceto': 10.232027084875163}"
Random,1022,Random_seed_1022,0.6124,2500,2500,35375.0893,2.1571,35372.93,True,950,950,4,0.16,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 9.43988338804911, 'CPS_Triton': 14.416212967073186, 'OSS_Ceto': 8.63351043468695}"
Random,1023,Random_seed_1023,0.6529,2500,2500,20621.2829,3.7854,20617.5,True,1168,1168,4,0.16,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 21.930830079649645, 'CPS_Triton': 15.267866571974212, 'OSS_Ceto': 13.639310291133514}"
Random,1024,Random_seed_1024,0.6368,2500,2500,40004.5503,4.5503,40000.0,True,44,44,4,0.16,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 19.387980881927128, 'CPS_Triton': 10.696788450147025, 'OSS_Ceto': 6.112282065459812}"
Random,1025,Random_seed_1025,0.6436,2500,2500,28196.8415,4.1972,28192.64,True,83,83,6,0.24,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 16.59627545577986, 'CPS_Triton': 12.754815814369515, 'OSS_Ceto': 10.447394095518343}"
Random,1026,Random_seed_1026,0.3592,2500,2500,40357.7414,3.3493,40354.39,True,137,137,7,0.28,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'green_ammonia'}","{'CPS_Poseidon': 15.112185584295913, 'CPS_Triton': 14.295052241682782, 'OSS_Ceto': 6.318809988646729}"
Random,1027,Random_seed_1027,0.2022,2500,2500,32030.5606,2.7356,32027.83,True,671,671,2,0.08,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 17.063481336647172, 'CPS_Triton': 9.832867118604634, 'OSS_Ceto': 9.48403216148083}"
Random,1028,Random_seed_1028,0.2062,2500,2500,22543.1063,5.7553,22537.35,True,279,279,9,0.36,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 21.204979993936085, 'CPS_Triton': 14.799131608924029, 'OSS_Ceto': 11.097291081667887}"
Random,1029,Random_seed_1029,0.1954,2500,2500,4721.9667,3.7129,4718.25,True,511,511,4,0.16,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'vlsfo'}","{'CPS_Poseidon': 17.31467722906815, 'CPS_Triton': 16.166109474881697, 'OSS_Ceto': 13.803383486264421}"
Random,1030,Random_seed_1030,0.1997,2500,2500,25948.5901,1.9374,25946.65,True,505,505,6,0.24,0.0,NONE,0,0.0,2500,0,0.0,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'bio_methanol'}","{'CPS_Poseidon': 9.716057161799949, 'CPS_Triton': 17.92798002373457, 'OSS_Ceto': 9.574426957331529}"
