algorithm,evaluation,step,penalized_fitness
NSGA_III,1500,29,30074.3138
NSGA_III,1550,30,30074.3138
NSGA_III,1600,31,30074.3138
NSGA_III,1650,32,30074.3138
NSGA_III,1700,33,30074.3138
NSGA_III,1750,34,30074.3138
NSGA_III,1800,35,30074.3138
NSGA_III,1850,36,30074.3138
NSGA_III,1900,37,30074.3138
NSGA_III,1950,38,30074.3138
NSGA_III,2000,39,30074.3138
NSGA_III,2050,40,30074.3138
NSGA_III,2100,41,30074.3138
NSGA_III,2150,42,30074.3138
NSGA_III,2200,43,30074.3138
NSGA_III,2250,44,30074.3138
NSGA_III,2300,45,30074.3138
NSGA_III,2350,46,29434.1936
NSGA_III,2400,47,29434.1936
NSGA_III,2450,48,29434.1936
NSGA_III,2500,49,29434.1936
