algorithm,seed,feasibility,best_penalty_free,fitness,best_penalty,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,feasible_evaluations,penalty_free_evaluations,unique_solutions,nondominated_penalty_free,pf_min_fuel_tonnes,pf_min_cost_usd,pf_min_ghg_tonnes,runtime_seconds,evaluations
QPSO,1020,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2500,0,,,,0.196,2500
QPSO,1021,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,1,0,2500,0,,,,0.197,2500
QPSO,1022,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,4,0,2500,0,,,,0.198,2500
QPSO,1023,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2500,0,,,,0.194,2500
QPSO,1024,1.0,True,4.0345,0.0,178.85,175014.27,739.75,0.0,904,450,2500,2,178.85,175014.27,671.1,0.719,2500
QPSO,1025,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2500,0,,,,0.195,2500
QPSO,1026,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,2,0,2500,0,,,,0.197,2500
QPSO,1027,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2500,0,,,,0.194,2500
QPSO,1028,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,2,0,2500,0,,,,0.195,2500
QPSO,1029,1.0,True,4.5146,0.0,213.98,211145.81,764.6,0.0,216,40,2500,4,213.98,211145.81,703.28,0.356,2500
QPSO,1030,1.0,True,4.0779,0.0,183.21,180355.87,760.77,0.0,510,197,2500,4,183.09,180089.98,730.27,0.473,2500
Classical_GA,1001,1.0,False,32245.7305,32239.73,307.0,338678.68,651.78,15.19,62,0,2461,0,,,,0.38,2500
Classical_GA,1002,1.0,False,23811.4875,23807.1,214.8,234068.96,603.12,11.38,2,0,2441,0,,,,0.301,2500
Classical_GA,1003,1.0,False,15316.444,15309.75,378.51,415436.86,549.56,7.34,73,0,2453,0,,,,0.349,2500
Classical_GA,1004,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,1,0,2439,0,,,,0.308,2500
Classical_GA,1005,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2444,0,,,,0.306,2500
Classical_GA,1006,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2456,0,,,,0.305,2500
Classical_GA,1007,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2457,0,,,,0.312,2500
Classical_GA,1008,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,1,0,2468,0,,,,0.305,2500
Classical_GA,1009,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2465,0,,,,0.309,2500
Classical_GA,1010,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,3,0,2449,0,,,,0.311,2500
Classical_GA,1011,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2461,0,,,,0.312,2500
Classical_GA,1012,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2459,0,,,,0.312,2500
Classical_GA,1013,1.0,True,4.8748,0.0,245.03,255372.09,648.55,0.0,1466,854,2456,4,241.68,250320.79,619.45,1.031,2500
Classical_GA,1014,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,41,0,2448,0,,,,0.329,2500
Classical_GA,1015,1.0,False,40712.3136,40708.36,187.24,207483.52,581.78,19.84,1,0,2462,0,,,,0.306,2500
Classical_GA,1016,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2460,0,,,,0.303,2500
Classical_GA,1017,1.0,False,18971.5146,18965.59,304.77,332528.05,657.81,8.77,2,0,2458,0,,,,0.306,2500
Classical_GA,1018,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2453,0,,,,0.302,2500
Classical_GA,1019,1.0,False,10513.6412,10509.14,215.13,224314.18,687.38,4.96,22,0,2450,0,,,,0.315,2500
Classical_GA,1020,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2454,0,,,,0.309,2500
Classical_GA,1021,0.0,False,101000.0,100000.0,200.0,250000.0,750.0,10.0,0,0,2455,0,,,,0.313,2500
Classical_GA,1022,1.0,False,375.8874,368.62,407.56,440983.52,618.0,0.08,676,0,2455,0,,,,0.65,2500
Classical_GA,1023,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2450,0,,,,0.305,2500
Classical_GA,1024,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,5,0,2452,0,,,,0.309,2500
Classical_GA,1025,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2458,0,,,,0.304,2500
Classical_GA,1026,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2455,0,,,,0.3,2500
Classical_GA,1027,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,9,0,2461,0,,,,0.308,2500
Classical_GA,1028,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,24,0,2454,0,,,,0.316,2500
Classical_GA,1029,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2457,0,,,,0.308,2500
Classical_GA,1030,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2456,0,,,,0.303,2500
