seed,optimizer,target_gold_evaluations,executed_pilot_evaluations,best_loss,physical_objective,penalty_value,is_feasible,domain_status,runtime_seconds,projected_50k_runtime_seconds,defect_identified,defect_description,early_stopping_triggered
100,QPSO,50000,2500,115003.2758272025,3.275827,115000.0,False,OUT_OF_DOMAIN,76.695,1533.9,True,"Objective function categorically rejects vessel_type='cruise_passenger', trapping optimizer on +115000 penalty floor regardless of evaluation budget.",True
100,DE,50000,2500,115003.27582691576,3.275827,115000.0,False,OUT_OF_DOMAIN,81.462,1629.2,True,"Objective function categorically rejects vessel_type='cruise_passenger', trapping optimizer on +115000 penalty floor regardless of evaluation budget.",True
137,QPSO,50000,2500,115003.27582673484,3.275827,115000.0,False,OUT_OF_DOMAIN,72.275,1445.5,True,"Objective function categorically rejects vessel_type='cruise_passenger', trapping optimizer on +115000 penalty floor regardless of evaluation budget.",True
137,DE,50000,2500,115003.27582657308,3.275827,115000.0,False,OUT_OF_DOMAIN,74.718,1494.4,True,"Objective function categorically rejects vessel_type='cruise_passenger', trapping optimizer on +115000 penalty floor regardless of evaluation budget.",True
174,QPSO,50000,2500,115003.2758266504,3.275827,115000.0,False,OUT_OF_DOMAIN,75.104,1502.1,True,"Objective function categorically rejects vessel_type='cruise_passenger', trapping optimizer on +115000 penalty floor regardless of evaluation budget.",True
174,DE,50000,2500,115003.27582685,3.275827,115000.0,False,OUT_OF_DOMAIN,81.387,1627.7,True,"Objective function categorically rejects vessel_type='cruise_passenger', trapping optimizer on +115000 penalty floor regardless of evaluation budget.",True
