feature,bin,sample_count,mae,rmse,mean_bias
stw_kn,"[8.0, 11.0)",0,,,
stw_kn,"[11.0, 14.0)",70,21.504995488755522,29.059323772485133,1.4779698953022875
stw_kn,"[14.0, 17.0)",104,21.372879149260083,32.15237708344857,4.562570467533672
stw_kn,"[17.0, 22.0)",5,20.34193231831555,21.853431376860716,10.949247064701558
