seed,optimizer,best_loss,total_evaluations,runtime_seconds,speed_knots,fuel_type,total_fuel_tonnes,total_opex_usd,total_wtw_ghg_tonnes,is_feasible,domain_status
396,Random_Search,115003.28186740653,2500,35.574,18.56,bio_methanol,196.31,210790.32,331.21,False,OUT_OF_DOMAIN
433,QPSO,115003.27582670221,2500,35.591,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
433,PSO,115003.27582722271,2500,35.303,18.59,bio_methanol,195.95,210402.36,330.6,False,OUT_OF_DOMAIN
433,GA,115003.27595606452,2500,34.285,18.59,bio_methanol,195.96,210410.64,330.61,False,OUT_OF_DOMAIN
433,DE,115003.27582656726,2500,34.367,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
433,Random_Search,115003.27920156215,2500,34.157,18.57,bio_methanol,196.15,210619.09,330.94,False,OUT_OF_DOMAIN
470,QPSO,115003.2758265765,2500,33.906,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
470,PSO,115003.27583570535,2500,34.332,18.59,bio_methanol,195.95,210402.91,330.6,False,OUT_OF_DOMAIN
470,GA,115003.27584316814,2500,34.003,18.59,bio_methanol,195.95,210403.39,330.6,False,OUT_OF_DOMAIN
470,DE,115003.27582657439,2500,34.294,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
470,Random_Search,115003.30369866421,2500,34.226,18.53,bio_methanol,196.6,213938.05,331.69,False,OUT_OF_DOMAIN
507,QPSO,115003.27582665559,2500,33.638,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
507,PSO,115003.2928678873,2500,34.026,18.59,bio_methanol,195.95,213242.41,330.6,False,OUT_OF_DOMAIN
507,GA,115003.27582686621,2500,35.47,18.59,bio_methanol,195.95,210402.34,330.6,False,OUT_OF_DOMAIN
507,DE,115003.27582687602,2500,34.672,18.59,bio_methanol,195.95,210402.34,330.6,False,OUT_OF_DOMAIN
507,Random_Search,115003.278609045,2500,34.445,18.58,bio_methanol,196.12,210581.04,330.88,False,OUT_OF_DOMAIN
544,QPSO,115003.27582666253,2500,34.09,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
544,PSO,115003.27583019961,2500,34.297,18.59,bio_methanol,195.95,210402.56,330.6,False,OUT_OF_DOMAIN
544,GA,115003.27586188872,2500,34.259,18.59,bio_methanol,195.95,210404.59,330.6,False,OUT_OF_DOMAIN
544,DE,115003.27582666239,2500,34.475,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
544,Random_Search,115003.2820855279,2500,33.604,18.56,bio_methanol,196.33,210804.33,331.23,False,OUT_OF_DOMAIN
581,QPSO,115003.27582674591,2500,34.059,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
581,PSO,115003.27583799032,2500,33.83,18.59,bio_methanol,195.95,210403.05,330.6,False,OUT_OF_DOMAIN
581,GA,115003.27583128425,2500,34.21,18.59,bio_methanol,195.95,210402.62,330.6,False,OUT_OF_DOMAIN
581,DE,115003.27582664645,2500,34.549,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
581,Random_Search,115003.27930184908,2500,33.898,18.57,bio_methanol,196.16,210625.53,330.95,False,OUT_OF_DOMAIN
618,QPSO,115003.27582671508,2500,34.883,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
618,PSO,115003.27582703128,2500,34.195,18.59,bio_methanol,195.95,210402.35,330.6,False,OUT_OF_DOMAIN
618,GA,115003.27583526752,2500,33.636,18.59,bio_methanol,195.95,210402.88,330.6,False,OUT_OF_DOMAIN
618,DE,115003.27582668907,2500,33.805,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
618,Random_Search,115003.2894858122,2500,33.469,18.51,bio_methanol,196.77,211279.64,331.98,False,OUT_OF_DOMAIN
655,QPSO,115003.27582721128,2500,33.645,18.59,bio_methanol,195.95,210402.36,330.6,False,OUT_OF_DOMAIN
655,PSO,115003.27582779713,2500,33.604,18.59,bio_methanol,195.95,210402.4,330.6,False,OUT_OF_DOMAIN
655,GA,115003.27586264315,2500,33.913,18.59,bio_methanol,195.95,210404.64,330.6,False,OUT_OF_DOMAIN
655,DE,115003.27582657096,2500,34.163,18.59,bio_methanol,195.95,210402.32,330.6,False,OUT_OF_DOMAIN
655,Random_Search,115003.2954380531,2500,34.299,18.48,bio_methanol,197.12,211661.94,332.58,False,OUT_OF_DOMAIN
692,QPSO,115003.2758266616,2500,34.236,18.59,bio_methanol,195.95,210402.33,330.6,False,OUT_OF_DOMAIN
