optimizer,seed,total_objective,physical_objective,fuel_component,cost_component,ghg_component,delay_component,risk_component,domain_penalty,constraint_penalty,regulatory_penalty,other_penalty,feasible,domain_status,constraint_status
PSO,322,115003.27582682,3.27582682,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,322,115003.27625046,3.27625046,1.17588,1.262577,0.551067,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,322,115003.27582658,3.27582658,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,322,115003.27789011,3.27789011,1.17642,1.263209,0.55135,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,359,115003.27582759,3.27582759,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,359,115003.2758322,3.2758322,1.1757,1.262416,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,359,115003.27591804,3.27591804,1.17576,1.262449,0.551017,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,359,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,359,115003.28232601,3.28232601,1.17804,1.264919,0.552083,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,396,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,396,115003.27582684,3.27582684,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,396,115003.27627878,3.27627878,1.17588,1.262588,0.551067,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,396,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,396,115003.28186741,3.28186741,1.17786,1.264742,0.552017,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,433,115003.2758267,3.2758267,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,433,115003.27582722,3.27582722,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,433,115003.27595606,3.27595606,1.17576,1.262464,0.551017,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,433,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,433,115003.27920156,3.27920156,1.1769,1.263715,0.551567,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,470,115003.27582658,3.27582658,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,470,115003.27583571,3.27583571,1.1757,1.262417,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,470,115003.27584317,3.27584317,1.1757,1.26242,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,470,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,470,115003.30369866,3.30369866,1.1796,1.283628,0.552817,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,507,115003.27582666,3.27582666,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,507,115003.29286789,3.29286789,1.1757,1.279454,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,507,115003.27582687,3.27582687,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,507,115003.27582688,3.27582688,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,507,115003.27860904,3.27860904,1.17672,1.263486,0.551467,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,544,115003.27582666,3.27582666,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,544,115003.2758302,3.2758302,1.1757,1.262415,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,544,115003.27586189,3.27586189,1.1757,1.262428,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,544,115003.27582666,3.27582666,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,544,115003.28208553,3.28208553,1.17798,1.264826,0.55205,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,581,115003.27582675,3.27582675,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,581,115003.27583799,3.27583799,1.1757,1.262418,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,581,115003.27583128,3.27583128,1.1757,1.262416,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,581,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,581,115003.27930185,3.27930185,1.17696,1.263753,0.551583,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,618,115003.27582672,3.27582672,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,618,115003.27582703,3.27582703,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,618,115003.27583527,3.27583527,1.1757,1.262417,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,618,115003.27582669,3.27582669,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,618,115003.28948581,3.28948581,1.18062,1.267678,0.5533,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,655,115003.27582721,3.27582721,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,655,115003.2758278,3.2758278,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,655,115003.27586264,3.27586264,1.1757,1.262428,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,655,115003.27582657,3.27582657,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,655,115003.29543805,3.29543805,1.18272,1.269972,0.5543,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,692,115003.27582666,3.27582666,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,692,115003.27582881,3.27582881,1.1757,1.262415,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,692,115003.2758267,3.2758267,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,692,115003.27582664,3.27582664,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,692,115003.28096828,3.28096828,1.17756,1.264395,0.551867,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,729,115003.27582671,3.27582671,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,729,115003.27585284,3.27585284,1.1757,1.262424,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,729,115003.29311611,3.29311611,1.17582,1.27955,0.551033,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,729,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
Random_Search,729,115003.2998835,3.2998835,1.18434,1.271685,0.55505,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
QPSO,766,115003.27582658,3.27582658,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
PSO,766,115003.27583245,3.27583245,1.1757,1.262416,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
GA,766,115003.27605366,3.27605366,1.17576,1.262501,0.551033,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
DE,766,115003.27582665,3.27582665,1.1757,1.262414,0.551,0.0,0.090767,100000.0,0.0,15000.0,0.0,False,OUT_OF_DOMAIN,INFEASIBLE_DOMAIN_VIOLATION
