optimizer,seed,total_objective,total_penalty,physical_objective,penalty_fraction,physical_fraction,classification,feasibility_tag
DE,470,115003.27582657,115000.0,3.27582657,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,470,115003.30369866,115000.0,3.30369866,0.99997127,2.873e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,507,115003.27582666,115000.0,3.27582666,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,507,115003.29286789,115000.0,3.29286789,0.99997137,2.863e-05,PENALTY_DOMINATED,INFEASIBLE
GA,507,115003.27582687,115000.0,3.27582687,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
DE,507,115003.27582688,115000.0,3.27582688,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,507,115003.27860904,115000.0,3.27860904,0.99997149,2.851e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,544,115003.27582666,115000.0,3.27582666,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,544,115003.2758302,115000.0,3.2758302,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,544,115003.27586189,115000.0,3.27586189,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
DE,544,115003.27582666,115000.0,3.27582666,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,544,115003.28208553,115000.0,3.28208553,0.99997146,2.854e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,581,115003.27582675,115000.0,3.27582675,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,581,115003.27583799,115000.0,3.27583799,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,581,115003.27583128,115000.0,3.27583128,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
DE,581,115003.27582665,115000.0,3.27582665,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,581,115003.27930185,115000.0,3.27930185,0.99997149,2.851e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,618,115003.27582672,115000.0,3.27582672,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,618,115003.27582703,115000.0,3.27582703,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,618,115003.27583527,115000.0,3.27583527,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
DE,618,115003.27582669,115000.0,3.27582669,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,618,115003.28948581,115000.0,3.28948581,0.9999714,2.86e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,655,115003.27582721,115000.0,3.27582721,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,655,115003.2758278,115000.0,3.2758278,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,655,115003.27586264,115000.0,3.27586264,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
DE,655,115003.27582657,115000.0,3.27582657,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,655,115003.29543805,115000.0,3.29543805,0.99997134,2.866e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,692,115003.27582666,115000.0,3.27582666,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,692,115003.27582881,115000.0,3.27582881,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,692,115003.2758267,115000.0,3.2758267,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
DE,692,115003.27582664,115000.0,3.27582664,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,692,115003.28096828,115000.0,3.28096828,0.99997147,2.853e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,729,115003.27582671,115000.0,3.27582671,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,729,115003.27585284,115000.0,3.27585284,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,729,115003.29311611,115000.0,3.29311611,0.99997137,2.863e-05,PENALTY_DOMINATED,INFEASIBLE
DE,729,115003.27582665,115000.0,3.27582665,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,729,115003.2998835,115000.0,3.2998835,0.99997131,2.869e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,766,115003.27582658,115000.0,3.27582658,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,766,115003.27583245,115000.0,3.27583245,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,766,115003.27605366,115000.0,3.27605366,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,766,115003.27582665,115000.0,3.27582665,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,766,115003.27740412,115000.0,3.27740412,0.9999715,2.85e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,803,115003.27582665,115000.0,3.27582665,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,803,115003.27582859,115000.0,3.27582859,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,803,115003.27584077,115000.0,3.27584077,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
DE,803,115003.27582657,115000.0,3.27582657,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,803,115003.28054737,115000.0,3.28054737,0.99997147,2.853e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,840,115003.27582773,115000.0,3.27582773,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,840,115003.27583442,115000.0,3.27583442,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,840,115003.27593859,115000.0,3.27593859,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,840,115003.27582657,115000.0,3.27582657,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,840,115003.2777769,115000.0,3.2777769,0.9999715,2.85e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,877,115003.27582748,115000.0,3.27582748,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
PSO,877,115003.27582946,115000.0,3.27582946,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
GA,877,115003.27603985,115000.0,3.27603985,0.99997151,2.849e-05,PENALTY_DOMINATED,INFEASIBLE
DE,877,115003.27582668,115000.0,3.27582668,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
Random_Search,877,115003.28330979,115000.0,3.28330979,0.99997145,2.855e-05,PENALTY_DOMINATED,INFEASIBLE
QPSO,914,115003.27582691,115000.0,3.27582691,0.99997152,2.848e-05,PENALTY_DOMINATED,INFEASIBLE
