algorithm,seed,feasibility,fitness,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,runtime_seconds,evaluations
Classical_GA,1017,1.0,40005.2142,281.53,307116.09,472.65,0.0,1.234,2500
Classical_GA,1018,1.0,6.7653,369.37,396523.25,623.34,0.0,3.328,2500
Classical_GA,1019,1.0,4.283,207.35,206648.59,653.89,0.0,3.68,2500
Classical_GA,1020,1.0,41468.4559,49.76,53986.26,83.95,0.56,1.155,2500
Classical_GA,1021,0.0,51000.0,200.0,250000.0,750.0,10.0,1.071,2500
Classical_GA,1022,1.0,4.9869,255.45,264117.7,665.42,0.0,3.358,2500
Classical_GA,1023,1.0,20003.5193,170.63,173545.52,514.93,0.0,1.658,2500
Classical_GA,1024,1.0,4.0021,177.58,174648.81,729.18,0.0,1.431,2500
Classical_GA,1025,0.0,51000.0,200.0,250000.0,750.0,10.0,0.387,2500
Classical_GA,1026,1.0,42169.113,156.72,181703.31,175.38,10.61,0.392,2500
Classical_GA,1027,0.0,51000.0,200.0,250000.0,750.0,10.0,0.403,2500
Classical_GA,1028,1.0,20001.7263,95.23,105032.64,160.05,0.0,0.989,2500
Classical_GA,1029,0.0,101000.0,200.0,250000.0,750.0,10.0,0.368,2500
Classical_GA,1030,0.0,51000.0,200.0,250000.0,750.0,10.0,0.393,2500
NSGA_III,1001,1.0,29434.1936,128.19,145811.5,223.28,4.5,0.26,2500
NSGA_III,1002,1.0,23811.4197,212.58,231684.66,593.52,11.38,0.287,2500
NSGA_III,1003,1.0,22357.4629,181.02,187338.12,565.08,0.92,0.288,2500
NSGA_III,1004,1.0,15096.0351,235.14,248935.69,701.02,7.3,0.343,2500
NSGA_III,1005,1.0,47244.0886,85.8,97831.18,152.43,3.21,0.322,2500
NSGA_III,1006,1.0,24267.2178,122.59,134200.41,210.33,1.94,0.286,2500
NSGA_III,1007,0.0,51000.0,200.0,250000.0,750.0,10.0,0.333,2500
NSGA_III,1008,1.0,40002.8414,126.24,121729.36,538.67,0.0,0.238,2500
NSGA_III,1009,1.0,9391.0843,181.11,180718.24,746.12,4.47,0.218,2500
NSGA_III,1010,1.0,60000.145,6.18,9154.31,17.43,0.0,0.27,2500
NSGA_III,1011,1.0,45294.6161,154.76,182852.11,171.69,12.16,0.22,2500
NSGA_III,1012,0.0,51000.0,200.0,250000.0,750.0,10.0,0.238,2500
NSGA_III,1013,1.0,35645.0797,435.52,489691.04,664.36,17.11,0.25,2500
NSGA_III,1014,0.0,51000.0,200.0,250000.0,750.0,10.0,0.231,2500
NSGA_III,1015,1.0,1231.3662,229.66,239229.68,593.64,0.35,0.237,2500
NSGA_III,1016,1.0,31046.6932,126.29,129314.55,526.35,5.23,0.218,2500
NSGA_III,1017,1.0,37763.7356,100.37,115171.64,219.87,8.55,0.233,2500
NSGA_III,1018,0.0,51000.0,200.0,250000.0,750.0,10.0,0.393,2500
NSGA_III,1019,1.0,24353.192,128.22,139971.39,219.83,1.66,0.441,2500
NSGA_III,1020,0.0,51000.0,200.0,250000.0,750.0,10.0,0.674,2500
NSGA_III,1021,1.0,85174.6202,77.06,107770.71,130.01,22.19,0.23,2500
NSGA_III,1022,0.0,51000.0,200.0,250000.0,750.0,10.0,0.237,2500
NSGA_III,1023,1.0,21783.0044,335.47,370216.58,562.3,10.17,0.233,2500
NSGA_III,1024,1.0,20002.5661,151.38,166157.99,166.04,0.0,0.294,2500
NSGA_III,1025,1.0,40000.8822,41.18,41397.04,147.86,0.0,0.308,2500
NSGA_III,1026,1.0,29397.5871,92.52,102103.66,236.85,4.48,0.233,2500
NSGA_III,1027,1.0,32878.3769,287.02,318206.86,486.54,6.13,0.654,2500
NSGA_III,1028,1.0,40002.8893,128.11,125947.65,546.47,0.0,1.416,2500
NSGA_III,1029,1.0,40003.215,148.12,150472.48,543.4,0.0,0.73,2500
NSGA_III,1030,1.0,37188.8614,341.43,378181.79,506.25,8.33,0.693,2500
