formulation,seed,algorithm,is_feasible,best_fitness,physical_fuel_tonnes,operational_cost_usd,wtw_ghg_tonnes,schedule_delay_hours,runtime_seconds,evaluations
D_Fuel_Cost_GHG,1005,DE,True,20001.9005,95.72,103806.16,244.24,0.0,1.093,2500
D_Fuel_Cost_GHG,1006,DE,True,4.4555,195.54,191033.68,805.52,0.0,1.925,2500
D_Fuel_Cost_GHG,1007,DE,True,20001.801,99.11,109026.21,166.97,0.0,1.244,2500
D_Fuel_Cost_GHG,1008,DE,True,4.0721,185.17,178323.1,760.53,0.0,1.94,2500
D_Fuel_Cost_GHG,1009,DE,True,10464.8043,203.31,211794.01,597.22,4.76,1.353,2500
D_Fuel_Cost_GHG,1010,DE,True,4.039,180.64,173996.52,741.2,0.0,1.999,2500
D_Fuel_Cost_GHG,1011,DE,True,20003.4084,151.14,147902.55,630.74,0.0,1.089,2500
D_Fuel_Cost_GHG,1012,DE,True,4.5426,210.43,207504.51,780.14,0.0,1.323,2500
D_Fuel_Cost_GHG,1013,DE,True,4.6705,219.71,220247.78,774.63,0.0,1.272,2500
D_Fuel_Cost_GHG,1014,DE,True,4.8942,225.67,227028.02,801.27,0.0,1.256,2500
D_Fuel_Cost_GHG,1015,DE,True,4.2163,190.54,184219.44,784.02,0.0,1.183,2500
D_Fuel_Cost_GHG,1016,DE,True,5943.7093,231.56,241724.17,578.99,2.69,1.284,2500
D_Fuel_Cost_GHG,1017,DE,True,4.5756,212.69,212566.48,788.53,0.0,1.451,2500
D_Fuel_Cost_GHG,1018,DE,True,4.0811,184.08,177224.47,757.11,0.0,1.608,2500
D_Fuel_Cost_GHG,1019,DE,True,2583.4383,251.97,266201.22,578.14,0.76,1.201,2500
D_Fuel_Cost_GHG,1020,DE,True,5.253,259.0,267736.15,766.51,0.0,1.454,2500
D_Fuel_Cost_GHG,1021,DE,True,5.443,263.96,267582.33,790.13,0.0,1.115,2500
D_Fuel_Cost_GHG,1022,DE,True,2183.6665,227.69,232410.34,771.14,0.91,1.137,2500
D_Fuel_Cost_GHG,1023,DE,True,4.5251,214.52,213315.84,758.75,0.0,1.168,2500
D_Fuel_Cost_GHG,1024,DE,True,4.0366,183.03,176222.75,752.62,0.0,1.633,2500
D_Fuel_Cost_GHG,1025,DE,True,20002.3575,137.23,152520.04,157.06,0.0,1.206,2500
D_Fuel_Cost_GHG,1026,DE,True,4.829,240.96,243528.59,694.84,0.0,1.732,2500
D_Fuel_Cost_GHG,1027,DE,True,7.8967,419.96,453076.2,766.67,0.0,1.478,2500
D_Fuel_Cost_GHG,1028,DE,True,5.4446,262.07,266344.61,786.94,0.0,1.18,2500
D_Fuel_Cost_GHG,1029,DE,True,14452.8182,162.9,166025.8,662.97,6.91,1.188,2500
D_Fuel_Cost_GHG,1030,DE,True,4.0962,185.12,178272.37,760.55,0.0,1.836,2500
