algorithm,seed,feasibility,best_penalty_free,fitness,best_penalty,fuel_tonnes,cost_usd,ghg_tonnes,delay_hours,feasible_evaluations,penalty_free_evaluations,unique_solutions,nondominated_penalty_free,pf_min_fuel_tonnes,pf_min_cost_usd,pf_min_ghg_tonnes,runtime_seconds,evaluations
QPSO,1020,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2500,0,,,,0.363,2500
QPSO,1021,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,1,0,2500,0,,,,0.366,2500
QPSO,1022,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,4,0,2500,0,,,,0.399,2500
QPSO,1023,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2500,0,,,,0.392,2500
QPSO,1024,1.0,True,4.043,0.0,183.84,177017.63,755.58,0.0,731,362,2500,3,181.18,174519.61,699.28,1.268,2500
QPSO,1025,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2500,0,,,,0.409,2500
QPSO,1026,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,2,0,2500,0,,,,0.35,2500
QPSO,1027,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2500,0,,,,0.382,2500
QPSO,1028,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,2,0,2500,0,,,,0.349,2500
QPSO,1029,1.0,True,4.4324,0.0,210.08,207447.69,750.11,0.0,216,40,2500,4,210.08,207447.69,690.38,0.611,2500
QPSO,1030,1.0,True,4.0491,0.0,182.97,179006.54,752.4,0.0,550,194,2500,3,182.04,178124.96,682.9,0.806,2500
Classical_GA,1001,1.0,False,32245.6034,32239.73,300.07,331445.21,637.79,15.19,62,0,2461,0,,,,0.689,2500
Classical_GA,1002,1.0,False,23811.4344,23807.1,212.49,231587.53,593.37,11.38,2,0,2441,0,,,,0.454,2500
Classical_GA,1003,1.0,False,15316.3004,15309.75,370.37,406678.53,536.89,7.34,73,0,2453,0,,,,0.529,2500
Classical_GA,1004,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,1,0,2439,0,,,,0.517,2500
Classical_GA,1005,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2444,0,,,,0.474,2500
Classical_GA,1006,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2456,0,,,,0.471,2500
Classical_GA,1007,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2457,0,,,,0.65,2500
Classical_GA,1008,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,1,0,2468,0,,,,0.581,2500
Classical_GA,1009,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2465,0,,,,0.539,2500
Classical_GA,1010,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,3,0,2449,0,,,,0.48,2500
Classical_GA,1011,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2461,0,,,,0.475,2500
Classical_GA,1012,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2459,0,,,,0.541,2500
Classical_GA,1013,1.0,True,4.8561,0.0,245.15,254339.17,640.84,0.0,1446,798,2454,2,245.15,254339.17,610.67,1.465,2500
Classical_GA,1014,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,41,0,2448,0,,,,0.548,2500
Classical_GA,1015,1.0,False,40712.2427,40708.36,184.05,204548.92,567.77,19.84,1,0,2462,0,,,,0.5,2500
Classical_GA,1016,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2460,0,,,,0.514,2500
Classical_GA,1017,1.0,False,18971.4792,18965.59,303.62,331498.15,647.72,8.77,2,0,2458,0,,,,0.503,2500
Classical_GA,1018,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2453,0,,,,0.462,2500
Classical_GA,1019,1.0,False,10513.6004,10509.14,213.62,222837.65,677.39,4.96,22,0,2450,0,,,,0.457,2500
Classical_GA,1020,0.0,False,51000.0,50000.0,200.0,250000.0,750.0,10.0,0,0,2454,0,,,,0.511,2500
