algorithm,evaluation,step,penalized_fitness
NSGA_III,1600,31,66172.8897
NSGA_III,1650,32,66172.8897
NSGA_III,1700,33,55401.0223
NSGA_III,1750,34,55401.0223
NSGA_III,1800,35,55401.0223
NSGA_III,1850,36,55401.0223
NSGA_III,1900,37,55401.0223
NSGA_III,1950,38,55401.0223
NSGA_III,2000,39,55401.0223
NSGA_III,2050,40,55401.0223
NSGA_III,2100,41,55401.0223
NSGA_III,2150,42,55401.0223
NSGA_III,2200,43,55401.0223
NSGA_III,2250,44,55401.0223
NSGA_III,2300,45,55401.0223
NSGA_III,2350,46,55401.0223
NSGA_III,2400,47,55401.0223
NSGA_III,2450,48,55401.0223
NSGA_III,2500,49,55401.0223
Hybrid_QI_A5,50,0,16746.0877
Hybrid_QI_A5,100,1,16746.0877
Hybrid_QI_A5,150,2,16746.0877
Hybrid_QI_A5,200,3,12355.4969
Hybrid_QI_A5,250,4,2880.2626
Hybrid_QI_A5,300,5,2880.2626
Hybrid_QI_A5,350,6,2880.2626
Hybrid_QI_A5,400,7,2880.2626
Hybrid_QI_A5,450,8,2880.2626
Hybrid_QI_A5,500,9,2880.2626
Hybrid_QI_A5,550,10,2880.2626
Hybrid_QI_A5,600,11,1920.8399
Hybrid_QI_A5,650,12,1646.317
Hybrid_QI_A5,700,13,1646.317
Hybrid_QI_A5,750,14,587.2857
Hybrid_QI_A5,800,15,587.2857
Hybrid_QI_A5,850,16,231.5497
Hybrid_QI_A5,900,17,4.59
Hybrid_QI_A5,950,18,4.59
Hybrid_QI_A5,1000,19,4.59
Hybrid_QI_A5,1050,20,4.59
Hybrid_QI_A5,1100,21,4.59
Hybrid_QI_A5,1150,22,4.59
Hybrid_QI_A5,1200,23,4.59
Hybrid_QI_A5,1250,24,4.59
Hybrid_QI_A5,1300,25,4.59
Hybrid_QI_A5,1350,26,4.59
Hybrid_QI_A5,1400,27,4.59
Hybrid_QI_A5,1450,28,4.59
Hybrid_QI_A5,1500,29,4.59
Hybrid_QI_A5,1550,30,4.59
Hybrid_QI_A5,1600,31,4.59
Hybrid_QI_A5,1650,32,4.1426
Hybrid_QI_A5,1700,33,4.1426
Hybrid_QI_A5,1750,34,4.1426
Hybrid_QI_A5,1800,35,4.1426
Hybrid_QI_A5,1850,36,4.1426
Hybrid_QI_A5,1900,37,4.048
Hybrid_QI_A5,1950,38,4.048
Hybrid_QI_A5,2000,39,4.048
Hybrid_QI_A5,2050,40,4.048
Hybrid_QI_A5,2100,41,4.048
Hybrid_QI_A5,2150,42,4.048
Hybrid_QI_A5,2200,43,4.048
Hybrid_QI_A5,2250,44,4.048
Hybrid_QI_A5,2300,45,4.048
Hybrid_QI_A5,2350,46,4.048
Hybrid_QI_A5,2400,47,4.048
Hybrid_QI_A5,2450,48,4.048
Hybrid_QI_A5,2500,49,4.048
