formulation,seed,algorithm,is_feasible,best_fitness,physical_fuel_tonnes,operational_cost_usd,wtw_ghg_tonnes,schedule_delay_hours,penalty,penalty_free,runtime_seconds,evaluations
D_Fuel_Cost_GHG,1016,DE,True,3353.8083,219.04,225314.04,654.89,1.09,3349.28,False,0.519,2500
D_Fuel_Cost_GHG,1017,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.472,2500
D_Fuel_Cost_GHG,1018,DE,True,4119.2562,209.8,214739.89,595.79,1.6,4115.03,False,0.458,2500
D_Fuel_Cost_GHG,1019,DE,True,3209.0586,406.75,435188.06,764.78,1.21,3201.38,False,0.586,2500
D_Fuel_Cost_GHG,1020,DE,True,27692.8985,225.38,238462.36,752.47,13.53,27688.11,False,0.516,2500
D_Fuel_Cost_GHG,1021,DE,True,19123.6657,220.53,232123.18,738.54,9.29,19118.98,False,0.506,2500
D_Fuel_Cost_GHG,1022,DE,True,4.4155,193.39,190077.46,797.57,0.0,0.0,True,0.518,2500
D_Fuel_Cost_GHG,1023,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.459,2500
D_Fuel_Cost_GHG,1024,DE,True,15567.3649,323.86,351326.12,624.15,7.1,15561.25,False,0.5,2500
D_Fuel_Cost_GHG,1025,DE,False,51000.0,200.0,250000.0,750.0,10.0,50000.0,False,0.438,2500
D_Fuel_Cost_GHG,1026,DE,True,2225.972,235.27,237628.49,770.06,0.75,2221.07,False,0.458,2500
D_Fuel_Cost_GHG,1027,DE,True,19525.4351,244.6,256400.68,732.35,9.33,19520.33,False,0.507,2500
D_Fuel_Cost_GHG,1028,DE,True,6249.942,183.73,184436.84,681.16,2.8,6245.99,False,0.64,2500
D_Fuel_Cost_GHG,1029,DE,True,30348.8846,290.41,316989.3,734.72,14.48,30343.09,False,0.567,2500
D_Fuel_Cost_GHG,1030,DE,True,45609.9582,190.44,213334.06,668.8,21.91,45605.67,False,0.575,2500
