seed,evaluations,feasible_evaluations,penalty_free_evaluations,unique_solutions,nondominated_in_run,runtime_seconds
1001,10000,9742,8852,9987,6,9.506
1002,10000,9712,8828,9989,4,8.814
1003,10000,9723,8816,9984,6,8.27
1004,10000,9632,8639,9988,4,8.413
1005,10000,9622,8651,9991,6,8.555
1006,10000,9678,8846,9985,5,8.551
1007,10000,9765,8854,9996,5,8.868
1008,10000,9653,8831,9984,5,8.336
1009,10000,9755,8830,9990,5,8.364
1010,10000,9800,8935,9989,6,8.549
