pair,mean_diff,wilcoxon_p,permutation_p,rank_biserial,hodges_lehmann,boot_ci_lower,boot_ci_upper
A5_vs_A0,-12199.217990000001,0.583757072687149,0.00399,-0.11827956989247312,-9999.6039,-19665.424221333335,-5399.668701666667
A5_vs_A1,-1999.9054533333335,0.7151329666376114,0.13056,0.07956989247311828,0.014100000000000001,-5333.035623833334,0.005634499999999931
A5_vs_DE,-3972.742016666666,5.587935447692871e-09,0.0,-0.9913978494623656,-1289.62565,-6712.27281975,-1642.9574094166671
A5_vs_PSO,-30164.55083666667,2.0489096641540527e-07,0.0,-0.9397849462365592,-25498.40625,-37997.46977691667,-22031.794766583334
A5_vs_GA,-27722.85039,3.725290298461914e-09,0.0,-0.9956989247311828,-25499.452849999998,-36532.37313483334,-19448.33402158334
A5_vs_Random,-28678.52766666666,1.862645149230957e-09,0.0,-1.0,-29367.6128,-32678.469814416665,-24504.49019775
DE_vs_A0,-8226.475973333334,1.0,0.04288,0.002150537634408602,0.019650000000000167,-15866.093803249996,-1108.5594539166693
