evaluation,fitness,physical_fitness,penalty,is_feasible,assigned_demands,speed_decisions,fuel_decisions,hard_violations
11,451000.0,1000.0,450000.0,False,"{'CPS_Poseidon': 'DEMAND-C', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 13.36, 'CPS_Triton': 9.37, 'OSS_Ceto': 12.82}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'liquid_hydrogen', 'OSS_Ceto': 'liquid_hydrogen'}","CPS_Poseidon: Incompatible assignment: Demand DEMAND-C requires offshore deck cargo capability, not supported by Crown Princess Poseidon; CPS_Triton: Incompatible fuel liquid_hydrogen for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel liquid_hydrogen for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Mandatory demand DEMAND-A is unfulfilled.; Duplicate demand DEMAND-C assigned to 2 vessels (must be exactly 1)."
12,251000.0,1000.0,250000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 9.2, 'CPS_Triton': 9.92, 'OSS_Ceto': 14.65}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'fossil_lng', 'OSS_Ceto': 'fossil_lng'}","CPS_Triton: Incompatible fuel fossil_lng for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Mandatory demand DEMAND-A is unfulfilled."
13,501000.0,1000.0,500000.0,False,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-A'}","{'CPS_Poseidon': 13.19, 'CPS_Triton': 17.32, 'OSS_Ceto': 12.36}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'green_ammonia', 'OSS_Ceto': 'vlsfo'}","CPS_Triton: Incompatible fuel green_ammonia for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible assignment: Demand DEMAND-A requires luxury passenger cruise vessel, but Ocean Supply Ship Ceto is offshore_supply; Duplicate demand DEMAND-A assigned to 3 vessels (must be exactly 1).; Mandatory demand DEMAND-B is unfulfilled.; Mandatory demand DEMAND-C is unfulfilled."
14,301000.0,1000.0,300000.0,False,"{'CPS_Poseidon': 'DEMAND-C', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-B'}","{'CPS_Poseidon': 21.01, 'CPS_Triton': 9.65, 'OSS_Ceto': 14.62}","{'CPS_Poseidon': 'bio_methanol', 'CPS_Triton': 'green_ammonia', 'OSS_Ceto': 'fossil_lng'}","CPS_Poseidon: Incompatible assignment: Demand DEMAND-C requires offshore deck cargo capability, not supported by Crown Princess Poseidon; CPS_Triton: Incompatible fuel green_ammonia for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia'])"
15,401000.0,1000.0,400000.0,False,"{'CPS_Poseidon': 'UNASSIGNED', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-B'}","{'CPS_Poseidon': 11.94, 'CPS_Triton': 8.92, 'OSS_Ceto': 12.21}","{'CPS_Poseidon': 'vlsfo', 'CPS_Triton': 'green_ammonia', 'OSS_Ceto': 'bio_methanol'}","CPS_Triton: Incompatible fuel green_ammonia for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible assignment: Demand DEMAND-B requires passenger vessel, but Ocean Supply Ship Ceto is offshore_supply; Mandatory demand DEMAND-A is unfulfilled.; Duplicate demand DEMAND-B assigned to 2 vessels (must be exactly 1).; Mandatory demand DEMAND-C is unfulfilled."
16,351000.0,1000.0,350000.0,False,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-B'}","{'CPS_Poseidon': 14.27, 'CPS_Triton': 9.41, 'OSS_Ceto': 9.01}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'bio_methanol', 'OSS_Ceto': 'fossil_lng'}","CPS_Triton: Incompatible assignment: Demand DEMAND-A requires luxury passenger cruise vessel, but Coastal Princess Triton is passenger_cruise_small; OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Duplicate demand DEMAND-A assigned to 2 vessels (must be exactly 1).; Mandatory demand DEMAND-C is unfulfilled."
17,351000.0,1000.0,350000.0,False,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-A'}","{'CPS_Poseidon': 13.23, 'CPS_Triton': 12.06, 'OSS_Ceto': 6.44}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'fossil_lng', 'OSS_Ceto': 'bio_methanol'}","CPS_Triton: Incompatible fuel fossil_lng for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible assignment: Demand DEMAND-A requires luxury passenger cruise vessel, but Ocean Supply Ship Ceto is offshore_supply; Duplicate demand DEMAND-A assigned to 2 vessels (must be exactly 1).; Mandatory demand DEMAND-C is unfulfilled."
18,501000.0,1000.0,500000.0,False,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-A'}","{'CPS_Poseidon': 16.31, 'CPS_Triton': 16.25, 'OSS_Ceto': 7.1}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'green_ammonia', 'OSS_Ceto': 'liquid_hydrogen'}","CPS_Triton: Incompatible fuel green_ammonia for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel liquid_hydrogen for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Duplicate demand DEMAND-A assigned to 3 vessels (must be exactly 1).; Mandatory demand DEMAND-B is unfulfilled.; Mandatory demand DEMAND-C is unfulfilled."
19,351000.0,1000.0,350000.0,False,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-B'}","{'CPS_Poseidon': 20.19, 'CPS_Triton': 13.9, 'OSS_Ceto': 6.78}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'green_ammonia', 'OSS_Ceto': 'fossil_lng'}","CPS_Triton: Incompatible fuel green_ammonia for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel fossil_lng for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Duplicate demand DEMAND-A assigned to 2 vessels (must be exactly 1).; Mandatory demand DEMAND-C is unfulfilled."
20,351000.0,1000.0,350000.0,False,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'DEMAND-A', 'OSS_Ceto': 'DEMAND-B'}","{'CPS_Poseidon': 13.45, 'CPS_Triton': 15.11, 'OSS_Ceto': 13.47}","{'CPS_Poseidon': 'fossil_lng', 'CPS_Triton': 'fossil_lng', 'OSS_Ceto': 'liquid_hydrogen'}","CPS_Triton: Incompatible fuel fossil_lng for Coastal Princess Triton (authorized: ['vlsfo', 'bio_methanol']); OSS_Ceto: Incompatible fuel liquid_hydrogen for Ocean Supply Ship Ceto (authorized: ['vlsfo', 'mgo', 'bio_methanol', 'green_ammonia']); Duplicate demand DEMAND-B assigned to 2 vessels (must be exactly 1).; Mandatory demand DEMAND-C is unfulfilled."
