seed,qpso_is_feasible,de_is_feasible,qpso_fitness,de_fitness,qpso_physical_objective,de_physical_objective,qpso_penalty,de_penalty,qpso_feasible_evals,qpso_first_feasible_eval,qpso_assigned_demands,de_assigned_demands,qpso_runtime,de_runtime,failure_diagnosis
1005,True,True,3.3852,3.9156,3.3852,3.9156,0.0,0.0,826,157,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}",0.552,1.508,PENALTY_INVERSION_OR_ATTRACTOR_TRAPPING
1021,False,True,51000.0,3.8138,1000.0,3.8138,50000.0,0.0,1,309,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}",0.195,3.324,PENALTY_INVERSION_OR_ATTRACTOR_TRAPPING
1025,False,True,51000.0,3.4427,1000.0,3.4427,50000.0,0.0,13,79,"{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'UNASSIGNED'}","{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}",0.205,3.462,PENALTY_INVERSION_OR_ATTRACTOR_TRAPPING
1029,False,True,51000.0,3.7738,1000.0,3.7738,50000.0,0.0,5,156,"{'CPS_Poseidon': 'DEMAND-B', 'CPS_Triton': 'UNASSIGNED', 'OSS_Ceto': 'DEMAND-C'}","{'CPS_Poseidon': 'DEMAND-A', 'CPS_Triton': 'DEMAND-B', 'OSS_Ceto': 'DEMAND-C'}",0.196,4.062,PENALTY_INVERSION_OR_ATTRACTOR_TRAPPING
