seed,classical_fs_mae,qiea_fs_mae,classical_hpo_mae,qpso_hpo_mae,classical_poly_mae,qi_mps_mae
42,228.82769908197,244.86076612417972,260.16851563424086,262.5105939479082,275.131501623465,361577167921.8601
1001,232.78236111017543,246.4265964051633,268.7433261414352,268.807591110515,275.131501623465,2926725456913.184
1002,235.6946925278606,227.9820041902461,267.88250367026245,272.2699422295328,275.131501623465,3789.1426529678633
1003,241.11014362369207,245.6623520860139,266.04512170584974,267.1607691829629,275.131501623465,3535080487454.27
1004,230.2761675740716,232.72592861685132,268.9224702660274,268.84457171269963,275.131501623465,2217.1605183177826
1005,227.1954229244662,247.31576726802732,268.47795681392563,269.98618464814115,275.131501623465,6296469533911.556
1006,252.94748219320195,231.761445860224,272.3307542942409,264.76648990056594,275.131501623465,1196.9303453854084
1007,242.4034212671773,244.9879567686146,273.693089746492,275.6674738863068,275.131501623465,2882351561721.492
1008,234.9304096725424,238.027426628494,269.77748852622113,265.2511390814776,275.131501623465,7906378852236.713
1009,248.27417928469515,235.04817761989952,258.16226784880985,258.3836702321836,275.131501623465,320869236128.9596
1010,232.829066236072,246.8699358946378,260.836937821947,259.3165971977284,275.131501623465,9818.99321950392
1011,245.57347575602688,238.4460463562964,270.6081378329732,272.21711845064146,275.131501623465,3387562509555.887
1012,238.85604722987017,228.1890880643202,260.4877154878698,264.67216304080154,275.131501623465,3547.4274117205823
1013,248.18067045033305,241.62029121582464,270.4399168935513,274.3371406906551,275.131501623465,1329.3457669897823
1014,231.9583923860884,239.6812834399378,270.1042354630188,274.8690072871896,275.131501623465,4155.276749267964
1015,241.9709031235581,230.0266105859888,268.86960737811535,274.24033521063706,275.131501623465,6891.307733387191
1016,230.13701374358916,237.9700250900472,270.1268997533912,270.46747562409064,275.131501623465,2598.4399930045925
1017,233.27323363861305,232.1038179492008,270.0587416678296,268.0677888130484,275.131501623465,12706526371349.438
1018,229.22863178606823,236.3855188283754,268.4529948283125,272.7712629868687,275.131501623465,8836304257188.197
1019,239.43000704798524,243.8269092008998,267.1774292730131,267.5710442828612,275.131501623465,561616016291.5818
1020,247.46167895341384,233.33371186500477,256.9647202037343,258.80848427716643,275.131501623465,4131.134540762344
1021,243.8379794568289,245.57251416468935,261.42481590342743,259.08044530140666,275.131501623465,1578.9569597639368
1022,233.29440146782497,232.9625497523797,276.5784459884706,276.5869316425573,275.131501623465,2324.0712938381444
1023,245.96344666910767,229.4813386810941,261.92615557974113,264.1674573042364,275.131501623465,1104.116055899406
1024,229.86368014274385,235.5967828124404,259.5909071832599,255.51860540655343,275.131501623465,1437434564426.408
1025,229.0600661428241,236.4133555216739,269.3310682184819,268.8843599957005,275.131501623465,4951646853411.794
1026,240.63172506880565,235.95792571453103,263.7712513541507,262.7076748571224,275.131501623465,7168191411031.405
1027,237.59908881860932,246.35066296405105,267.8486607877601,265.3023420427133,275.131501623465,2384.0382377566702
1028,233.57783797184948,238.08657395138252,276.646113546593,266.8403520347938,275.131501623465,2412.514333746288
1029,230.16945360868317,235.15883902638868,266.728153876914,267.2826383020543,275.131501623465,4322462118962.4673
