model,seed,vessel,split,R2,MAE,RMSE,MAPE,sMAPE,Median_AE,P95_error,max_error,bias,training_time,inference_latency,memory_mb,physical_violations
P4 (Physics + QIEA-FS + ML),42,Combined Fleet,Chronological Test (20%),0.9500389850332476,244.86076612417972,443.5112850082981,14.54640764861465,14.05719773292521,128.73128025616506,1098.7838668668746,3893.437496474596,-158.8552383358921,112.55,0.02,48.0,0
P5 (Physics + QIEA + QPSO + ML),42,Combined Fleet,Chronological Test (20%),0.9469959984818396,252.97343974564663,456.8181780906075,15.071835529811498,15.611874318281943,129.5515761345054,1159.057540741812,3770.5086547031,-164.90716128710218,164.33,0.02,50.0,0
P4 (Physics + QIEA-FS + ML),1001,Combined Fleet,Chronological Test (20%),0.9501353791255318,246.4265964051633,443.08322616183983,15.718927347808718,15.64869182487074,147.78793304219255,1162.815326629403,3887.935284719048,-160.79216823485328,131.52,0.02,48.0,0
P5 (Physics + QIEA + QPSO + ML),1001,Combined Fleet,Chronological Test (20%),0.9500545598063924,251.27786589941044,443.4421498428096,16.347407610993752,16.67572410069923,156.41657138043894,1118.9412421815418,3864.4231624609056,-161.16534396857347,203.4,0.02,50.0,0
P4 (Physics + QIEA-FS + ML),1002,Combined Fleet,Chronological Test (20%),0.9529633247081858,227.9820041902461,430.3356810896198,14.085937805871154,13.556881540152713,121.1735753904028,1139.9406976184891,3886.100630660511,-144.14117815170266,116.64,0.02,48.0,0
P5 (Physics + QIEA + QPSO + ML),1002,Combined Fleet,Chronological Test (20%),0.9503028074157104,244.43565893071855,442.3387399701288,14.976249068680543,14.828237925051145,132.07437538849896,1132.1125410949312,3858.0062808956473,-165.76932253338862,169.11,0.02,50.0,0
P4 (Physics + QIEA-FS + ML),1003,Combined Fleet,Chronological Test (20%),0.950576376583748,245.6623520860139,441.1195842530891,15.736140511337274,15.44866839863509,139.25373162178653,1151.7858686353206,3862.083263879439,-154.58965827975777,122.82,0.02,48.0,0
P5 (Physics + QIEA + QPSO + ML),1003,Combined Fleet,Chronological Test (20%),0.9498555375667548,247.4755832069279,444.3247840220084,15.55889449486411,15.419214890852034,141.21218808840052,1167.2432507654685,3850.739611696691,-158.11610351737025,184.16,0.02,50.0,0
P4 (Physics + QIEA-FS + ML),1004,Combined Fleet,Chronological Test (20%),0.9524524794254146,232.72592861685132,432.6662166484624,14.765952864968389,14.207146385032278,127.23428254917565,1136.5181525051494,3914.228416809228,-143.7059127355828,120.16,0.02,48.0,0
P5 (Physics + QIEA + QPSO + ML),1004,Combined Fleet,Chronological Test (20%),0.9513468401575642,237.91703789935053,437.6677780480253,14.16886211755115,13.830470574058848,131.1828431678332,1132.7784904942391,3885.221708928453,-157.9081451128298,195.21,0.02,50.0,0
P4 (Physics + QIEA-FS + ML),1005,Combined Fleet,Chronological Test (20%),0.9503995775835484,247.31576726802732,441.9078700384741,16.629309952745537,16.823236663990183,141.96367565551657,1175.3978516100576,3854.655856631352,-162.31563695303095,122.33,0.02,48.0,0
P5 (Physics + QIEA + QPSO + ML),1005,Combined Fleet,Chronological Test (20%),0.9516030858065642,238.09039957300843,436.51370581103606,15.412334920501584,15.020868404105734,133.33571480848846,1145.1988554861011,3847.1151945887223,-151.29715123968967,191.47,0.02,50.0,0
P4 (Physics + QIEA-FS + ML),1006,Combined Fleet,Chronological Test (20%),0.952164131084062,231.761445860224,433.9761693919801,14.30105434068556,14.334930361799112,115.44930735827506,1096.824644589096,3840.805170782104,-126.9306086557063,119.67,0.02,48.0,0
P5 (Physics + QIEA + QPSO + ML),1006,Combined Fleet,Chronological Test (20%),0.9520647125143836,235.5287205105384,434.4269074759172,14.506683664640956,14.718403442453264,118.67360537227307,1087.843435899562,3747.3056651978654,-122.57659693179794,183.83,0.02,50.0,0
P4 (Physics + QIEA-FS + ML),1007,Combined Fleet,Chronological Test (20%),0.9505123819122874,244.9879567686146,441.4050769878047,15.722014548639104,15.379678606147047,138.64196280464785,1182.7374705738546,3893.663719473692,-156.0677157560492,125.81,0.02,48.0,0
P5 (Physics + QIEA + QPSO + ML),1007,Combined Fleet,Chronological Test (20%),0.9479602858550794,254.37561093228243,452.643720360389,16.19095052306144,16.416423626862684,144.67774909145112,1144.3294800805531,3833.921143332468,-173.02423776817224,184.84,0.02,50.0,0
P4 (Physics + QIEA-FS + ML),1008,Combined Fleet,Chronological Test (20%),0.9501789964144292,238.027426628494,442.8893981852872,14.521725578844682,14.76052827111891,123.93779995451604,1118.0434367583662,3791.6390942581975,-151.63861825159793,131.28,0.02,48.0,0
P5 (Physics + QIEA + QPSO + ML),1008,Combined Fleet,Chronological Test (20%),0.947294322473718,241.74627322774663,455.5308024489238,14.301125192530098,14.692986523396025,120.07356779459168,1121.670607425543,3773.7414469577343,-149.98820486184113,202.3,0.02,50.0,0
P4 (Physics + QIEA-FS + ML),1009,Combined Fleet,Chronological Test (20%),0.9532037135153174,235.04817761989952,429.2346212128607,13.507699389824346,13.208463888755478,123.37498757955984,1101.829842927113,3867.1343814264505,-144.05319528742504,122.66,0.02,48.0,0
P5 (Physics + QIEA + QPSO + ML),1009,Combined Fleet,Chronological Test (20%),0.9533588114631104,236.3536994016515,428.5227200461069,14.596984754644003,14.099421355646545,128.31681027485024,1058.1135878577866,3728.878268942564,-145.60147016743358,172.13,0.02,50.0,0
P4 (Physics + QIEA-FS + ML),1010,Combined Fleet,Chronological Test (20%),0.9486281541359424,246.8699358946378,449.7297670549327,14.191870881995529,14.237999318529637,124.85398158525608,1108.103677834736,3864.577925972657,-156.8633744034639,122.17,0.02,48.0,0
P5 (Physics + QIEA + QPSO + ML),1010,Combined Fleet,Chronological Test (20%),0.9490989092316878,248.25442109698105,447.6644350858543,14.910982278237626,14.623641062131483,129.7565920363586,1133.8430947196314,3840.2981431988846,-139.163075828442,210.67,0.02,50.0,0
P4 (Physics + QIEA-FS + ML),1011,Combined Fleet,Chronological Test (20%),0.9523151088250988,238.4460463562964,433.2907786646303,15.376937298762543,15.171474929369474,138.0459876215731,1135.0772131068456,3848.8288798661897,-146.62276562919158,121.36,0.02,48.0,0
P5 (Physics + QIEA + QPSO + ML),1011,Combined Fleet,Chronological Test (20%),0.9497087130020848,249.90537641725365,444.974807025852,16.551953925696054,16.277052923329354,142.65499889336752,1140.8156318461315,3869.5729537646976,-153.4302776446886,189.77,0.02,50.0,0
