test_vessel,baseline_mae,baseline_r2,qiea_mae,qiea_r2
CPS_Poseidon,1745.6399120004066,-0.6550472507662699,2108.0447752125383,-1.2976883387686735
CPS_Triton,1348.3456735681511,-39.50519920309493,1339.7906008944994,-39.860773358822144
OSS_Ceto,579.1432176418076,-1.9509486266141711,285.5923461952758,-0.17803374341464995
