optimizer,n_seeds,mean_loss,median_loss,std_loss,min_loss,max_loss,ci_95_low,ci_95_high,mean_physical_obj,feasibility_rate_pct,mean_runtime_s
DE,30,3.2758,3.2758,0.0,3.2758,3.2758,3.2758,3.2758,3.2758,100.0,265.065
GA,30,3.2767,3.2759,0.0031,3.2758,3.2931,3.2758,3.2818,3.2767,100.0,265.253
PSO,30,3.2775,3.2758,0.0052,3.2758,3.2929,3.2758,3.2929,3.2775,100.0,265.15
QPSO,30,3.2758,3.2758,0.0,3.2758,3.2758,3.2758,3.2758,3.2758,100.0,262.702
Random_Search,30,3.2828,3.28,0.007,3.2768,3.3037,3.2768,3.3009,3.2828,100.0,264.547
