optimizer,total_runs,feasible_runs,feasibility_rate_pct,zero_penalty_runs,mean_penalty
DE,30,30,100.0,30,0.0
GA,30,30,100.0,30,0.0
PSO,30,30,100.0,30,0.0
QPSO,30,30,100.0,30,0.0
Random_Search,30,30,100.0,30,0.0
