comparison,n_bootstrap,observed_mean_diff,boot_mean_diff_low_ci95,boot_mean_diff_high_ci95,observed_median_diff,boot_median_diff_low_ci95,boot_median_diff_high_ci95,observed_relative_diff_pct,boot_rel_diff_pct_low_ci95,boot_rel_diff_pct_high_ci95
QPSO_vs_DE,10000,2.2846529243262618e-07,9.618740713590591e-08,3.8648664012153044e-07,7.504600585406251e-08,5.175662787237911e-09,1.4837058004424364e-07,6.974279090423729e-06,2.936278932106354e-06,1.1798140763559345e-05
QPSO_vs_PSO,10000,-0.0017074132658458918,-0.003428343759478119,-3.3960943612332286e-06,-2.0785249315036225e-06,-3.7807959920588274e-06,-8.413364511739019e-07,-0.05209444413253168,-0.10454634287378929,-0.00010367125201033814
QPSO_vs_GA,10000,-0.0008400007428803313,-0.0020587404450713655,-0.00016757305883864963,-0.00011436522387220371,-0.00029515591620055126,-3.5329080490864584e-05,-0.0256358298280328,-0.0628069620096905,-0.005115181388053661
QPSO_vs_Random_Search,10000,-0.0069613964274347255,-0.009580180066837194,-0.004628990739866053,-0.004180663115413763,-0.006203339358263227,-0.0028582471428821865,-0.21205742995209542,-0.2915979778590689,-0.14110815588371414
