optimizer,seed,term_fuel_weighted_norm,term_cost_weighted_norm,term_ghg_weighted_norm,term_delay_weighted_norm,term_risk_weighted_norm,penalty_value,calculated_objective,reported_objective,reconstruction_absolute_error
DE,100,1.3716499999999998,1.26241404,0.551,0.0,0.09076666666666668,0.0,3.2758307066666665,3.275826915759734,3.790906932366056e-06
DE,137,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.275826573079509,4.013587157736254e-06
DE,174,1.3716499999999998,1.26241404,0.551,0.0,0.09076666666666668,0.0,3.2758307066666665,3.2758268499944565,3.856672210034162e-06
DE,211,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.2758266878511564,3.958815510074487e-06
DE,248,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.2758266506756857,3.995990980776298e-06
DE,285,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.2758265731454386,4.013521228252159e-06
DE,322,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.275826578951965,4.007714701881326e-06
DE,359,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.275826651614791,3.99505187553828e-06
DE,396,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.2758266467964443,3.999870222148871e-06
DE,433,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.275826567254572,4.019412094713459e-06
DE,470,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.2758265743937365,4.012272930342675e-06
DE,507,1.3716499999999998,1.26241404,0.551,0.0,0.09076666666666668,0.0,3.2758307066666665,3.275826876018104,3.830648562352934e-06
DE,544,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.275826662389022,3.984277644253353e-06
DE,581,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.275826646458326,4.000208340571021e-06
DE,618,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.275826689078967,3.957587699332521e-06
DE,655,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.275826570958142,4.015708524818251e-06
DE,692,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.2758266426763383,4.003990328182994e-06
DE,729,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.2758266490903063,3.997576360159627e-06
DE,766,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.275826650978221,3.995688445446177e-06
DE,803,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.275826569056166,4.0176105007283525e-06
DE,840,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.275826572503896,4.014162770626939e-06
DE,877,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.275826678069288,3.968597378278815e-06
DE,914,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.275826568722459,4.017944208012381e-06
DE,951,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.27582656778342,4.018883246637017e-06
DE,988,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.275826742503384,3.904163282442141e-06
DE,1025,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.2758265725720803,4.014094586501926e-06
DE,1062,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.2758265722237434,4.0144429234167944e-06
DE,1099,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.275826572569813,4.014096854021432e-06
DE,1136,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.275826579784309,4.006882357909802e-06
DE,1173,1.3716499999999998,1.26241392,0.551,0.0,0.09076666666666668,0.0,3.275830586666667,3.275826577235421,4.0094312456773196e-06
GA,100,1.3716499999999998,1.26241764,0.551,0.0,0.09076666666666668,0.0,3.2758343066666664,3.275836182710528,1.876043861592791e-06
GA,137,1.3717199999999998,1.26245916,0.5510166666666667,0.0,0.09076666666666668,0.0,3.2759624933333327,3.2759439370895227,1.8556243809975115e-05
GA,174,1.37228,1.26296076,0.5512333333333334,0.0,0.09079999999999999,0.0,3.2772740933333333,3.277245612456146,2.8480877187320175e-05
GA,211,1.3717199999999998,1.2624636,0.5510166666666667,0.0,0.09076666666666668,0.0,3.275966933333333,3.2759554793823016,1.1453951031636933e-05
GA,248,1.3717899999999998,1.2625539600000002,0.5510666666666666,0.0,0.09076666666666668,0.0,3.276177293333333,3.276189885996027,1.2592662693933221e-05
GA,285,1.3716499999999998,1.26241854,0.551,0.0,0.09076666666666668,0.0,3.2758352066666667,3.2758385403523658,3.3336856990473507e-06
GA,322,1.3718599999999999,1.2625773,0.5510666666666666,0.0,0.09076666666666668,0.0,3.276270633333333,3.276250464014496,2.0169318837304218e-05
GA,359,1.3717199999999998,1.2624492,0.5510166666666667,0.0,0.09076666666666668,0.0,3.275952533333333,3.275918043690354,3.4489642978918766e-05
GA,396,1.3718599999999999,1.26258822,0.5510666666666666,0.0,0.09076666666666668,0.0,3.2762815533333334,3.276278784954492,2.7683788412780075e-06
GA,433,1.3717199999999998,1.2624402000000001,0.5510166666666667,0.0,0.09076666666666668,0.0,3.2759435333333333,3.2758947627781687,4.877055516461226e-05
GA,470,1.3716499999999998,1.26242034,0.551,0.0,0.09076666666666668,0.0,3.275837006666667,3.2758431681364533,6.161469786380991e-06
GA,507,1.3716499999999998,1.26241404,0.551,0.0,0.09076666666666668,0.0,3.2758307066666665,3.2758268662208345,3.840445832015149e-06
GA,544,1.3716499999999998,1.26242754,0.551,0.0,0.09076666666666668,0.0,3.2758442066666666,3.275861888703941,1.7682037274369122e-05
GA,581,1.3716499999999998,1.26241572,0.551,0.0,0.09076666666666668,0.0,3.2758323866666665,3.275831284249039,1.1024176274077035e-06
GA,618,1.3716499999999998,1.26241728,0.551,0.0,0.09076666666666668,0.0,3.275833946666667,3.275835267519528,1.3208528613084525e-06
GA,655,1.3716499999999998,1.26242784,0.551,0.0,0.09076666666666668,0.0,3.2758445066666666,3.2758626432723554,1.813660568883435e-05
GA,692,1.3716499999999998,1.2624139799999998,0.551,0.0,0.09076666666666668,0.0,3.2758306466666665,3.275826703268052,3.943398614314475e-06
GA,729,1.3717899999999998,1.2795501,0.5510333333333334,0.0,0.09076666666666668,0.0,3.2931400999999996,3.293116105894509,2.399410549047687e-05
GA,766,1.3717199999999998,1.26250146,0.5510333333333334,0.0,0.09076666666666668,0.0,3.27602146,3.2760536584984394,3.219849843949518e-05
GA,803,1.3716499999999998,1.26241938,0.551,0.0,0.09076666666666668,0.0,3.2758360466666665,3.275840769106227,4.722439560289615e-06
GA,840,1.3717199999999998,1.2624571199999999,0.5510166666666667,0.0,0.09076666666666668,0.0,3.2759604533333326,3.275938589135344,2.1864197988552547e-05
GA,877,1.3717199999999998,1.26249612,0.5510333333333334,0.0,0.09076666666666668,0.0,3.2760161199999995,3.2760398543546616,2.3734354662074963e-05
GA,914,1.3718599999999999,1.26257022,0.5510666666666666,0.0,0.09076666666666668,0.0,3.2762635533333326,3.276232172364617,3.1380968715577495e-05
GA,951,1.37207,1.2627735,0.55115,0.0,0.09079999999999999,0.0,3.2767934999999992,3.276759582979128,3.391702087141013e-05
GA,988,1.3717199999999998,1.2624658800000002,0.5510166666666667,0.0,0.09076666666666668,0.0,3.2759692133333336,3.2759612969006,7.916432733789946e-06
GA,1025,1.37235,1.26307584,0.5512833333333333,0.0,0.09079999999999999,0.0,3.277509173333333,3.2775441689122324,3.499557889963256e-05
GA,1062,1.3716499999999998,1.26241404,0.551,0.0,0.09076666666666668,0.0,3.2758307066666665,3.27582685774124,3.8489254263751604e-06
