optimizer,seed,scenario,evaluation_budget,runtime_seconds,best_loss,best_physical_objective,penalty,penalty_fraction,is_feasible,domain_status,speed_knots,cargo_tonnes,fuel_type,operating_mode,use_shore_power,total_fuel_tonnes,total_opex_usd,total_wtw_ghg_tonnes,voyage_duration_hours,schedule_delay_hours,uncertainty_risk_tonnes,cii_rating,fueleu_compliant
DE,1136,SCEN-01,2500,245.892,3.275826579784309,3.2758,0.0,0.0,True,VALID,18.59,471.1,bio_methanol,transit,False,195.95,210402.32,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
DE,1173,SCEN-01,2500,192.442,3.275826577235421,3.2758,0.0,0.0,True,VALID,18.59,1000.0,bio_methanol,maneuvering,False,195.95,210402.32,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,100,SCEN-01,2500,148.266,3.275836182710528,3.2758,0.0,0.0,True,VALID,18.59,883.1,bio_methanol,maneuvering,False,195.95,210402.94,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,137,SCEN-01,2500,163.212,3.2759439370895227,3.2759,0.0,0.0,True,VALID,18.59,781.7,bio_methanol,transit,False,195.96,210409.86,330.61,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,174,SCEN-01,2500,193.382,3.277245612456146,3.2772,0.0,0.0,True,VALID,18.58,951.0,bio_methanol,maneuvering,False,196.04,210493.46,330.74,26.31,0.0,27.24,NOT_EVALUABLE,True
GA,211,SCEN-01,2500,220.62,3.2759554793823016,3.276,0.0,0.0,True,VALID,18.59,766.2,bio_methanol,maneuvering,False,195.96,210410.6,330.61,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,248,SCEN-01,2500,222.908,3.276189885996027,3.2762,0.0,0.0,True,VALID,18.59,463.9,bio_methanol,maneuvering,False,195.97,210425.66,330.64,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,285,SCEN-01,2500,234.05,3.2758385403523658,3.2758,0.0,0.0,True,VALID,18.59,491.0,bio_methanol,maneuvering,False,195.95,210403.09,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,322,SCEN-01,2500,250.22,3.276250464014496,3.2763,0.0,0.0,True,VALID,18.59,921.6,bio_methanol,maneuvering,False,195.98,210429.55,330.64,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,359,SCEN-01,2500,251.553,3.275918043690354,3.2759,0.0,0.0,True,VALID,18.59,824.4,bio_methanol,maneuvering,False,195.96,210408.2,330.61,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,396,SCEN-01,2500,255.703,3.276278784954492,3.2763,0.0,0.0,True,VALID,18.59,354.8,bio_methanol,transit,False,195.98,210431.37,330.64,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,433,SCEN-01,2500,269.344,3.2758947627781687,3.2759,0.0,0.0,True,VALID,18.59,888.8,bio_methanol,maneuvering,False,195.96,210406.7,330.61,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,470,SCEN-01,2500,278.365,3.2758431681364533,3.2758,0.0,0.0,True,VALID,18.59,673.9,bio_methanol,maneuvering,False,195.95,210403.39,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,507,SCEN-01,2500,279.746,3.2758268662208345,3.2758,0.0,0.0,True,VALID,18.59,561.7,bio_methanol,maneuvering,False,195.95,210402.34,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,544,SCEN-01,2500,283.09,3.275861888703941,3.2759,0.0,0.0,True,VALID,18.59,550.5,bio_methanol,transit,False,195.95,210404.59,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,581,SCEN-01,2500,296.461,3.275831284249039,3.2758,0.0,0.0,True,VALID,18.59,870.5,bio_methanol,maneuvering,False,195.95,210402.62,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,618,SCEN-01,2500,298.685,3.275835267519528,3.2758,0.0,0.0,True,VALID,18.59,996.9,bio_methanol,transit,False,195.95,210402.88,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,655,SCEN-01,2500,296.465,3.2758626432723554,3.2759,0.0,0.0,True,VALID,18.59,1000.0,bio_methanol,maneuvering,False,195.95,210404.64,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,692,SCEN-01,2500,294.215,3.275826703268052,3.2758,0.0,0.0,True,VALID,18.59,836.6,bio_methanol,transit,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,729,SCEN-01,2500,293.316,3.293116105894509,3.2931,0.0,0.0,True,VALID,18.59,1000.0,bio_methanol,maneuvering,True,195.97,213258.35,330.62,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,766,SCEN-01,2500,293.456,3.2760536584984394,3.2761,0.0,0.0,True,VALID,18.59,595.7,bio_methanol,maneuvering,False,195.96,210416.91,330.62,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,803,SCEN-01,2500,293.088,3.275840769106227,3.2758,0.0,0.0,True,VALID,18.59,874.1,bio_methanol,maneuvering,False,195.95,210403.23,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,840,SCEN-01,2500,293.256,3.275938589135344,3.2759,0.0,0.0,True,VALID,18.59,975.8,bio_methanol,maneuvering,False,195.96,210409.52,330.61,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,877,SCEN-01,2500,292.885,3.2760398543546616,3.276,0.0,0.0,True,VALID,18.59,985.9,bio_methanol,maneuvering,False,195.96,210416.02,330.62,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,914,SCEN-01,2500,293.416,3.276232172364617,3.2762,0.0,0.0,True,VALID,18.59,648.3,bio_methanol,transit,False,195.98,210428.37,330.64,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,951,SCEN-01,2500,292.365,3.276759582979128,3.2768,0.0,0.0,True,VALID,18.59,647.7,bio_methanol,transit,False,196.01,210462.25,330.69,26.3,0.0,27.24,NOT_EVALUABLE,True
GA,988,SCEN-01,2500,292.201,3.2759612969006,3.276,0.0,0.0,True,VALID,18.59,337.0,bio_methanol,transit,False,195.96,210410.98,330.61,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,1025,SCEN-01,2500,298.686,3.2775441689122324,3.2775,0.0,0.0,True,VALID,18.58,693.7,bio_methanol,maneuvering,False,196.05,210512.64,330.77,26.31,0.0,27.24,NOT_EVALUABLE,True
GA,1062,SCEN-01,2500,301.357,3.27582685774124,3.2758,0.0,0.0,True,VALID,18.59,759.2,bio_methanol,maneuvering,False,195.95,210402.34,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,1099,SCEN-01,2500,301.647,3.276247210450099,3.2762,0.0,0.0,True,VALID,18.59,382.2,bio_methanol,maneuvering,False,195.98,210429.34,330.64,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,1136,SCEN-01,2500,281.34,3.276268216456427,3.2763,0.0,0.0,True,VALID,18.59,734.3,bio_methanol,maneuvering,False,195.98,210430.69,330.64,26.3,0.0,27.23,NOT_EVALUABLE,True
GA,1173,SCEN-01,2500,194.291,3.27593810884595,3.2759,0.0,0.0,True,VALID,18.59,448.1,bio_methanol,maneuvering,False,195.96,210409.48,330.61,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,100,SCEN-01,2500,147.812,3.2758292106078515,3.2758,0.0,0.0,True,VALID,18.59,0.5,bio_methanol,maneuvering,False,195.95,210402.49,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,137,SCEN-01,2500,175.153,3.275829683008819,3.2758,0.0,0.0,True,VALID,18.59,692.8,bio_methanol,transit,False,195.95,210402.52,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,174,SCEN-01,2500,200.793,3.2758267324686856,3.2758,0.0,0.0,True,VALID,18.59,0.0,bio_methanol,maneuvering,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,211,SCEN-01,2500,219.721,3.275830597832621,3.2758,0.0,0.0,True,VALID,18.59,955.7,bio_methanol,maneuvering,False,195.95,210402.58,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,248,SCEN-01,2500,220.395,3.2758266409069576,3.2758,0.0,0.0,True,VALID,18.59,432.3,bio_methanol,maneuvering,False,195.95,210402.33,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,285,SCEN-01,2500,229.575,3.292871961112825,3.2929,0.0,0.0,True,VALID,18.59,562.7,bio_methanol,transit,True,195.95,213242.67,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,322,SCEN-01,2500,248.152,3.275826821561296,3.2758,0.0,0.0,True,VALID,18.59,1000.0,bio_methanol,maneuvering,False,195.95,210402.34,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,359,SCEN-01,2500,250.673,3.2758322018628254,3.2758,0.0,0.0,True,VALID,18.59,184.4,bio_methanol,transit,False,195.95,210402.68,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,396,SCEN-01,2500,256.3,3.275826836275358,3.2758,0.0,0.0,True,VALID,18.59,336.9,bio_methanol,transit,False,195.95,210402.34,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,433,SCEN-01,2500,261.15,3.275827222710906,3.2758,0.0,0.0,True,VALID,18.59,452.8,bio_methanol,maneuvering,False,195.95,210402.36,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,470,SCEN-01,2500,277.832,3.2758357053572027,3.2758,0.0,0.0,True,VALID,18.59,999.9,bio_methanol,transit,False,195.95,210402.91,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,507,SCEN-01,2500,278.925,3.292867887296432,3.2929,0.0,0.0,True,VALID,18.59,537.5,bio_methanol,transit,True,195.95,213242.41,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,544,SCEN-01,2500,282.886,3.275830199603789,3.2758,0.0,0.0,True,VALID,18.59,949.1,bio_methanol,maneuvering,False,195.95,210402.56,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,581,SCEN-01,2500,297.104,3.2758379903263366,3.2758,0.0,0.0,True,VALID,18.59,528.8,bio_methanol,maneuvering,False,195.95,210403.05,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,618,SCEN-01,2500,298.484,3.2758270312713296,3.2758,0.0,0.0,True,VALID,18.59,1000.0,bio_methanol,maneuvering,False,195.95,210402.35,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,655,SCEN-01,2500,295.338,3.275827797124309,3.2758,0.0,0.0,True,VALID,18.59,987.6,bio_methanol,maneuvering,False,195.95,210402.4,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,692,SCEN-01,2500,294.269,3.2758288105459408,3.2758,0.0,0.0,True,VALID,18.59,256.1,bio_methanol,transit,False,195.95,210402.47,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,729,SCEN-01,2500,293.208,3.2758528434593184,3.2759,0.0,0.0,True,VALID,18.59,779.0,bio_methanol,transit,False,195.95,210404.01,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,766,SCEN-01,2500,292.95,3.2758324458238097,3.2758,0.0,0.0,True,VALID,18.59,684.8,bio_methanol,maneuvering,False,195.95,210402.7,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,803,SCEN-01,2500,293.161,3.275828588600656,3.2758,0.0,0.0,True,VALID,18.59,873.1,bio_methanol,transit,False,195.95,210402.45,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,840,SCEN-01,2500,293.528,3.275834420753532,3.2758,0.0,0.0,True,VALID,18.59,258.7,bio_methanol,maneuvering,False,195.95,210402.83,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,877,SCEN-01,2500,293.082,3.275829463609534,3.2758,0.0,0.0,True,VALID,18.59,3.2,bio_methanol,maneuvering,False,195.95,210402.51,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,914,SCEN-01,2500,293.535,3.275826903326113,3.2758,0.0,0.0,True,VALID,18.59,941.4,bio_methanol,maneuvering,False,195.95,210402.34,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,951,SCEN-01,2500,292.742,3.275827181486857,3.2758,0.0,0.0,True,VALID,18.59,223.3,bio_methanol,transit,False,195.95,210402.36,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,988,SCEN-01,2500,291.844,3.2758277652182097,3.2758,0.0,0.0,True,VALID,18.59,303.3,bio_methanol,maneuvering,False,195.95,210402.4,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
PSO,1025,SCEN-01,2500,294.703,3.2758295070947616,3.2758,0.0,0.0,True,VALID,18.59,337.3,bio_methanol,maneuvering,False,195.95,210402.51,330.6,26.3,0.0,27.23,NOT_EVALUABLE,True
